nco_code,occupation_title,job_description,volume,pdf_page,column
1111.0300,"Elected Official, Local Bodies","Performs administrative, executive or advisory functions in matters entrusted to local bodies e.g. public health, sanitation, primary education, building and road construction, drainage, street-lighting, raising and collection of admissible local taxes and their proper administration, and all other connected matters for the benefit of local people, including enforcement of local laws and emergency measures as necessary.",II-A,15,1
1111.9900,"Legislators, Other","perform administrative, executive or advisory functions in educational, religious, social, political and community welfare organizations and such other permanent or ad-hoc private bodies, not else-where classified.",II-A,15,2
1112.0500,"Executive Official, State","Performs or supervises performance of executive and field duties which include maintenance of law and order; assessing and collecting taxes, duties, land revenues, etc.; issuing licenses; executing development schemes; reconciling parties in trade disputes; inspecting schools, factories, shops, offices and establishments; and enforcing various rules, regulations and provisions of law.",II-A,17,2
1112.0600,Administrative and Executive,"plans, organizes, co-ordinates and controls within authority delegated, activities of quasi-government organizations, establishment, etc. or one or more of its departments/branches or sections; and",II-A,18,1
1112.0800,Administrative and Executive,"plans, organizes, co-ordinates and controls functions of the city corporation, improvement trust, municipality, district board, cantonment board, notified area committee or other local bodies, and executes and implements or supervises execution and implementation of decisions, rules and regulations and by-laws of local bodies and also assesses and collects local taxes.",II-A,18,2
1114.0200,"Senior Officials of Employers,","determine and formulate policies, rules and regulations of their respective organizations, direct their application, represents these organizations and act on their behalf.",II-A,19,2
1114.9900,Senior Officials of Special-interest,"Directs their application, represents these organizations and acts on their behalf.",II-A,20,1
1120.0200,"Working Proprietor, Gas","plans, organizes and controls, within authority delegated activities of public or private organizations or enterprises, or one or more of its departments, sections or branches, engaged in manufacture of gas, distribution and supply of gas to consumers and production and supply of steam for heat and power.",II-A,21,1
1120.0300,"Working Proprietor, Water Supply","plans, organizes and co-ordinates, within authority delegated, activities of public or private organizations engaged in storage, filtration, purification and supply of water.",II-A,21,1
1120.0400,"Director, Electricity","Determines, plans, organizes and controls in broad outline, within authority delegated, activities of private or public organizations or establishments or one or more of its branches, departments, etc. engaged in generation, transmission and distribution of electricity to domestic and industrial consumers.",II-A,21,2
1120.0500,"Director, Gas","Determines, plans, organizes and controls, within authority delegated activities of public or private organizations or enterprises, or one or more of its departments, sections or branches, engaged in manufacture of gas, distribution and supply of gas to consumers and production and supply of steam for heat and power.",II-A,21,2
1120.0700,"Director, Bank","sets broad policies and plans and supervises in general way, within authority delegated, efficient operation of private or public bank or major segment of it.",II-A,22,1
1120.0900,"Working Proprietor,","plans, organizes, directs and controls the enterprise wholly or partially and is engaged in economic activities related to extraction of coal, ore, mica, precious stones and other minerals from underground mines or open pits, and treatment of minerals for use by consumers.",II-A,22,2
1120.1100,"Working Proprietor, Well","plans, organizes, directs and controls the enterprise wholly or partially and is engaged in economic activities related to drilling and sinking of deep wells, and operating wells for extraction of crude petroleum, natural gas, water and other liquids and semi-liquids from deep below earth’s surface.",II-A,23,1
1120.1300,"Director, Construction","plans, co-ordinates and controls, within powers delegated, activities of public or private organizations or one or more of its branches or departments engaged in construction, maintenance and repairs of buildings, roads, bridges, railway tracks, aerodromes, canals, dams, etc.",II-A,23,2
1120.1400,"Director, Mines","plans, directs and co- ordinates, within powers delegated activities of public or private organizations engaged in extracting coal, ores, mica, precious stones and other solid minerals from underground mines or open pits and in treating and dressing ore or minerals at mine site.",II-A,23,2
1120.1500,"Director, Quarry","plans, directs and co- ordinates, within powers delegated, activities of public or private organization engaged in excavating stone, slate, clay and sand from earth.",II-A,24,1
1120.1600,"Director, Well Drilling","plans, directs and co-ordinates, within powers delegated, activities of public or private organization engaged in drilling and sinking deep wells and operating wells for extraction of mineral oil, natural gas, etc.",II-A,24,1
1120.1900,"Working Proprietor, Wholesale","controls business policies to ensure profits, keeping in view price line, market trend and demand and supply position. Appoints Directors, Managers and Representatives and delegates financial and operational powers to them, if necessary. Runs wholesale trade on monopoly or zonal basis in specific commodities either by importing them from outside or manufacturing them in his own or other concern. May require a licence or permit from public authorities for wholesale trade. May undertake export business.",II-A,25,1
1120.2100,"Director, Wholesale Trade","plans, controls and directs operation of private or public enterprise or segment of its activities engaged in buying and selling of goods in wholesale.",II-A,25,2
1120.2200,"Director, Retail Trade","plans, controls and directs operation of private or public enterprises or a segment of its activities, engaged in buying and selling goods in retail.",II-A,25,2
1120.2300,"Working Proprietor, Transport","plans, organizes, co-ordinates and controls activities of the organization or establishment wholly or partly owned by him, is engaged in transporting passengers and freight by buses, trucks, taxis, rickshaws, tongas, and other means of road transport; by boats, launches, ships, etc. plying on inland or coastal waters or on high seas; by aircraft for providing transport and other services, incidental to transport.",II-A,26,1
1120.2500,"Director, Communication","plans, organizes, co-ordinates and controls, within authority delegated, activities of public or private organization or one or more of its departments or branches, engaged in providing postal, telephone, telegraph, wireless and other communication services.",II-A,26,2
1120.2800,"Director, Storage and Warehousing",May arrange facilities of transport and communication as required.,II-A,27,2
1120.2900,"Working Proprietor, Lodging and","plans, organizes, co-ordinates and controls operations of the organization or establishment wholly or partly owned by him and is engaged in serving food, drinks and beverages and providing lodging and camping facilities to public.",II-A,28,1
1120.3000,"Director, Lodging and Catering","plans, organizes and controls, within authority delegated, activities of public or private organizations or establishments or one or more of its branches, engaged in preparing and serving food, drinks and beverages and providing lodging, and camping facilities to public.",II-A,28,1
1120.3200,"Working Proprietor, Recreation and","plans, organizes, co- ordinates and controls operations of the organization or establishment wholly or partly owned by him and is engaged in producing, distributing and exhibiting motion pictures; producing and presenting stage and circus shows; operating carnivals and amusement parks; organizing games, sports, hunting, fishing, excursion, competitions, etc., and providing other entertainment and recreation services.",II-A,29,1
1120.3401,Account Director (Advertising,Agency) Account Director (Advertising Agency) is responsible for managing the clients’ advertisement portfolio.,II-A,30,1
1120.3500,"Working Proprietor, Other Services","plans, organizes, co-ordinates and controls activities of the organization, wholly or partly owned by him, and is engaged in running and managing educational institutions; rendering medical and other health services, sanitation, washing and cleaning households, garments, etc. and providing other services.",II-A,30,2
1120.3900,"Principal, College","Develops and evaluates educational programmes to ensure conformance to state and university standards. Develops and co- ordinates educational programmes through meetings with staff, review of teachers' activities, and issuance of directives. Confers with teachers, students, and parents concerning educational and behavioural problems in the college. Establishes and maintains relationships with colleges, community organizations, and other colleges to co-ordinate educational, sports and cultural services. Forwards requisitions and allocates supplies, equipment, and instructional material as needed. Directs preparation of class schedules, cumulative records, and attendance reports. Observes and evaluates teacher’s performance. Interviews and hires teachers. Walks around the college building and property to monitor safety and security. Plans and monitors college budget and financial matters. May plan and direct building maintenance. May develop and administer educational programmes for students with mental or physical handicaps.",II-A,32,1
1120.9900,Managing Directors and Chief,"plan, organize, control, co- ordinate and supervise activities of public or private organizations, wholly or partially owned by them or on behalf of others, engaged in generating, transmitting and distributing electricity; producing and supplying gas, purifying and supplying water and providing related services not elsewhere classified.",II-A,32,2
1211.0100,"General Manager, Bank","organizes, controls and supervises, within authority delegated, activities of a private or public bank or one or more of its departments or branches.",II-A,33,2
1211.0200,"General Manager, Insurance","organizes, controls and supervises, within authority delegated, activities of a private or public organization or one or more of its departments or branches, engaged in life, fire, accident, marine and other general insurance business.",II-A,33,2
1211.0300,"Purser, Ship","maintains their pay rolls. Prepares portage bills and ship's 30 articles (contracts). Collects mail and distributes to passengers, officers and crew. May supervise stowing or removal of luggage from holds in conjunction with Chief Officer, Ship or Officer on Watch. May collect valuables of passengers for safe custody in passenger ships. May arrange parties and other entertainment for passengers and generally acts as a host.",II-A,34,1
1211.9900,Finance and Administration,"include Managers engaged in finance and administration and related services, not elsewhere classified.",II-A,34,1
1212.0100,Personnel Manager,"organizes training schemes, supervises administration of welfare programmes, distributes personnel for their effective utilization in organization and resolves problems of remuneration, discipline and industrial disputes in accordance with established laws. Investigates in to specific problems of indiscipline and inefficiency to evolve and suggest ameliorative measures to management. Establishes channels of consultation between labour and employers to minimize misunderstanding, promote cordial relations and consults with labour representatives on behalf of employers to remove causes of petty grievances.",II-A,34,2
1213.0101,Quality Assurance Standards In,"Charge Quality Assurance Standards In Charge is responsible for selecting, maintaining and monitoring the measuring systems to be used for the inspection of manufactured products in order to assure quality products to customers.",II-A,35,2
1213.0200,"Manager, Automotive Service","Plans, develops, and implements policies for operating station, such as hours of operation, workers required and duties, scope of operations, and prices for products and services. Hires and trains workers, prepares work schedules, and assigns workers to specific duties, such as customer service, automobile maintenance, or repair work. Directs, co- ordinates, and participates in performing customer service activities, such as pumping petroleum fuel, checking engine oil, tires, battery, and washing windows and windshield. Notifies customers when oil is dirty or low, tires are worn, hoses or fan-belts are defective, or evidence indicates battery defects. Promotes sale of products and services, such as oil change and lubrication, tires, battery, or other automotive accessories. Reconciles cash with petrol pump meter readings, sales slips, and credit card charges. Orders, receives, and inventories petroleum fuel, oil, automotive accessories and parts. May perform automotive maintenance and repair work, such as adjusting or relining brakes, motor tune-ups, valve grinding, and changing and repairing tires.",II-A,36,1
1213.0201,Area Service Manager,supervises processes.,II-A,36,2
1213.0202,Territory Service Manager,supervises service functions at the dealership network of the assigned territory and helps in increasing profitability.,II-A,36,2
1219.0101,Export Manager,"work includes analysis of the foreign trade logistics, management and supervision of all shipment related documents and ensuring shipping compliance.",II-A,37,2
1221.0100,Sales Manager (Wholesale Trade),"organizes and manages wholesale trade organizations, or one or more if its branches or departments engaged in buying goods and selling them for profits to retailers or industrial and commercial consumers.",II-A,38,2
1221.0200,Sales Manager (Retail Trade),"organizes and manages retail trade organization, or one or more of its branches or departments, engaged in buying goods and merchandise and selling them for profit to customers.",II-A,38,2
1221.0401,Territory Sales Manager,"Enhances Average Revenue Per User (ARPU) and customer base, channel development and process compliance.",II-A,39,1
1221.0601,Sales Co-ordinator (Media Org),is responsible for back-end sales activities,II-A,39,2
1221.9900,"Sales and Marketing Managers,","include managers engaged in sales and marketing and related services, not elsewhere classified.",II-A,40,1
1222.0200,"Manager, Fashion/Fashion","Consults with buying personnel to gain advice regarding type of fashion. Advises publicity and display departments of merchandise to be publicized. Selects garments and accessories to be displayed at fashion shows. Provides information on current fashion, style trends, and use of accessories. May contract with models, musicians, caterers, and other personnel to manage staging of shows. May conduct teenage fashion shows and direct activities of store-sponsored club for teenaged girls.",II-A,41,1
1223.0101,Manager Testing Facility,"manage requirements identification, development and installation of testing facilities in R&D for validating the specifications of the product.",II-A,41,2
1223.0201,Research Associate,"The job also involves going through many reports, analysing and interpreting data, creating research reports and documents",II-A,42,1
1311.0200,"General Manager, Horticulture","Determines types of fruits or nuts to be grown depending on nature of soil and climate, irrigation and market facilities. Selects and purchases plants, fertilisers and agricultural implements. Organizes operations of ploughing, manuring, sowing or planting and watering. Devises ways and means to supply regular flow of water for irrigation. Supervises agricultural operations such as weeding, spraying insecticides, manuring and harvesting. Selects best market for produce and arranges its transport. Supervises and controls field and office staff. Trains field workers in latest methods of grafting and planting of trees. Attends to office correspondence and keeps cost and production account. Keeps equipment and building, etc. in good order. Pays various taxes and dues and fulfils other obligations.",II-A,44,1
1311.0901,Rubber Nursery Manager,He is responsible for the quality assurance of the planting materials produced from the nursery.,II-A,47,2
1311.1400,"Manager, Dairy Farm","Supervises selection and purchase of animals, in consultation with the employer. Makes proper arrangements for housing, feeding and treatment of milking animals. Pairs animals for breeding on basis of pedigree. Arranges artificial insemination for developing good breed. Takes proper care of animals during birth of young and takes necessary precautions during upbringing of young animals. Ensures that hygienic methods are maintained while cleaning udder of animals, washing hands of Milkman, milk containers, etc. before milking. Supervises milking, preparation of butter, ghee, etc. and arranges their transportation and marketing. Selects and sells unprofitable animals. Controls office and field staff and co-ordinates their work. Records details of feed consumed, milk and other produce, purchase and sale of animals and other items relating to the income and expenditure of the dairy. Avoids wastage, maintains proper accounts and watches expenditure and receipts of farm for economic consideration. May raise and exhibit show animals. May arrange and supervise production of feed for animals. May conduct research and demonstrate process of working.",II-A,49,2
1311.1500,"Manager, Poultry Farm","Determines varieties of poultry to be raised in consultation with the employer. Purchases feed, eggs, chicken, incubators and other equipment required for the poultry farm. Supervises arrangements for feeding, breeding, hatching and construction of foster-mother, pan, and brooder houses for housing newly born chicks and adult birds. Makes provision for proper sanitation and medical facilities and gets them vaccinated at a proper age. Adopts labour saving devices, co- ordinates work of various sections and controls office staff. Implements plans carefully to achieve fixed target of production and yield profit. Takes preventive measures against diseases of birds. Isolates and treats or disposes off ailing birds and takes measures against the spread of epidemics. Determines selling price for eggs of different grades and stock of different ages and pedigree. Maintains breeding record. Studies improved methods in poultry development. Arranges preservation of eggs during summer and disposal of poultry by-products. Undertakes measures to publicise products. Maintains all accounts and correspondence relating to the farm. May raise selected poultry and sell quality eggs for hatching. May arrange demonstration of various kinds of hatchery plants to develop hatching of eggs. May raise and exhibit show stock.",II-A,50,1
1311.9900,Agricultural and Forestry,"include all other Farm Managers and supervisors engaged in agriculture, horticulture, poultry, dairy, livestock and farming, not elsewhere classified.",II-A,50,2
1321.0100,"Manager, Electricity","co-ordinates and supervises, within authority delegated efficient utilisation of men, money and material in public or private organizations or establishments, or one or more of its departments, branches, etc., engaged in generation, transmission and distribution of electricity to domestic and industrial consumers.",II-A,51,1
1321.0300,"Manager, Gas","co-ordinates and controls, within authority delegated, efficient utilization of men, money and material in public or private organizations or establishments, or one or more of its departments, sections or branches, engaged in manufacture of gas and distribution of manufactured or natural gas to consumers, and production and supply of steam for heat, power, etc.",II-A,51,2
1321.0500,"Manager, Food Processing Plant","Directs, through subordinate supervisory personnel, workers engaged in processing, canning, freezing, storing, and shipping food products. Directs and co-ordinates activities concerned with dismantling, moving, installing, or repair of machines and equipment. Approves plant payroll and payments for purchased materials or products. Estimates quantities of foods for processing required and orders foods, materials, supplies, and equipment needed. Hires, transfers, and discharges employees. May provide suppliers with transportation to expedite delivery of purchased products or supplies to the plant. May arrange for freezing of packaged products by other food processing plants. May negotiate with suppliers or growers regarding prices to be paid for purchases.",II-A,52,1
1321.0700,"General Manager, Electricity","co-ordinates and supervises, within authority delegated efficient utilization of men, money and material in public or private organizations or establishments, or one or more of its departments, branches, etc., engaged in generation, transmission and distribution of electricity to domestic and industrial consumers.",II-A,52,2
1321.0900,"General Manager, Water Supply","supervises within powers delegated, efficient utilization of men, money and material in public or private organizations, or one or more of its departments or branches, engaged in storing, filtering and purifying water and supplying water to consumers.",II-A,53,1
1321.1000,"General Manager, Manufacturing","organizes, co-ordinates and supervises, within powers delegated, efficient utilisation of men, money and material in public or private organizations or establishments, or one or more of its departments or branches, engaged in producing, maintaining or repairing capital or consumer goods, excluding crops, minerals electricity and natural gas.",II-A,53,1
1322.0100,"Manager, Mine",Ensures satisfactory production and safety of men and material.,II-A,53,2
1322.0300,"Manager, Well Drilling","controls and supervises within authority delegated, activities of public or private organizations engaged in drilling and sinking of wells and operating wells for extraction of mineral oil, natural gas, etc.",II-A,54,1
1322.0500,"General Manager, Quarry",Ensures satisfactory production and safety of men and material.,II-A,54,2
1322.0600,"General Manager, Well Drilling","controls and supervises within authority delegated, activities of public or private organizations engaged in drilling and sinking of wells and operating wells for extraction of mineral oil, natural gas, etc.",II-A,54,2
1323.0100,"Manager, Construction/Manager","co-ordinates and supervises, within powers delegated, activities of public or private organizations or one or more of its departments or branches engaged in construction, maintenance and repairs of buildings, roads, railway tracks, aerodromes, bridges, canals, dams, etc.",II-A,55,1
1323.9900,"Construction Managers, Other","includes all other General Managers engaged in construction, and other related activities, not elsewhere classified.",II-A,56,1
1324.0101,Manager Supplier Quality,"needs to be responsible for overall supplier quality assurance functions for all facilities including incoming inspection, issue containment and supplier corrective actions.",II-A,56,2
1324.0103,Manager Vendor Development,"co-ordinate and expedite procurement and flow of materials, parts, and assemblies between sections or departments of manufacturing, according to production and shipping schedules to ensure timely production of goods.",II-A,57,1
1324.0700,"Traffic Inspector, Tram",Substitutes temporarily for Tram Starter. Checks Conductor's memo by field inspection to ensure running of tram at scheduled time. Tallies tickets sold with recorded entry and tickets held by passengers travelling in trams to check and avoid over payment of fares or over travelling by passengers. Reports complaints of poor service to higher authorities for action. Visits accident or breakdown sites and arranges to clear line to restore normal traffic. Provides first aid to injured persons. Observes performance of Conductors and reports any irregularity noticed to higher authorities. Maintains statistics of passengers travelling in tram cars and suggests improvement in schedule to divisional authorities.,II-A,59,2
1324.1100,"Traffic Officer, Air Service/Traffic","Guides passengers in and out of aircraft and arranges for the transport of their luggage to and from the aircraft. Stows cargoes into aircraft according to size, weight, type and destination as indicated in general loading instructions. Checks number of passengers aboard with the list available with the Airhostess or Steward. Ensures that the doors of the aircraft are properly closed before signal is given to Pilot for take-off. Arranges and supervises proper parking, housing and picketing of aircraft with the engineering staff. May operate teletype to send reports of passengers and cargo to next port of call. May arrange for the transportation of passengers to and from the airport.",II-A,61,1
1324.1201,Warehouse Supervisor,in the Logistics industry is,II-A,61,2
1324.1300,"Goods Supervisor, Railway","Inspects goods booked for proper packing and checks contents with sender's declaration. Checks adequacy of storage facilities for goods received. Directs loading of goods in waggons as instructed by Traffic Controller based on availability of clearance at other stations. Allots platforms for loading and unloading of goods to ensure speedy movement of waggons and minimise delays. Ensures compliance with necessary precautionary measures for loading and unloading explosives, inflammable, and like materials. Arranges for the delivery of goods to consignee against authorisations. Examines complaints and reports cases of thefts, shortages, losses, etc. to higher authorities for investigation. May issue receipts for goods received and payments made. May conduct loading and unloading operations.",II-A,62,1
1324.1800,"Depot Starter, Tram","prepares allocation statement showing route, route symbol and vehicles assigned. Maintains daily duty rotation board, weekly offs, leave and absentee statements of Tram Conductors and Drivers, arranges substitutes for absentees and forwards attendance statement to Time Keeper. Assigns Drivers and Conductors for duty to appropriate vehicles according to requirements of each vehicle. Announces crew and vehicle numbers as per stabling plan and ensures that vehicles turn out from depot at scheduled time and display appropriate route, route symbol and destination boards. Rearranges services during peak hours and periods of traffic congestion under instruction from higher authorities. Submits reports of vehicles turned out, routes covered, etc. Takes charge of lost items handed over by Conductors, Drivers or passengers and forwards them to lost property office at the headquarter. May take special measures during disturbances or abnormal conditions.",II-A,64,1
1324.1900,"Section Controller, Railway","Controls movement of rail traffic within his territorial jurisdiction by constant telephonic contact with stations and on the basis of information received regarding movement of trains and rolling stock at different stations. Co-ordinates crossing of trains within his section with adjoining divisions and railways, according to time-table. Obtains full utilisation of waggons by adjusting supply and demand of waggons at different stations and controlling formation of trains at marshalling yard accordingly. Re- schedules rolling stock, transhipment, etc. in case of accidents and breakdowns. Maintains charts of running trains and ensures receipt and submission of prescribed reports and returns. May recommend changes in time table in accordance with public request and requirement.",II-A,64,2
1324.2100,"General Manager, Transport","supervises, co-ordinates and controls, within authority delegated, efficient utilization of men, money and material in public or private organizations or establishments, or one or more of its departments, branches or sections, engaged in transporting passengers and freight by railways, tramways, buses, trucks, taxis, rickshaws, boats, launchers, ships, aircrafts and other means of transport, and operating services incidental to transport.",II-A,65,1
1324.2200,"General Manager, Storage and","supervises, co-ordinates and controls within authority delegated, public or private organizations or establishments or one or more of its departments, branches or sections engaged in providing storage and warehouse facilities to parties concerned and render such other additional facilities as may be laid down or agreed to in business terms and conditions.",II-A,65,2
1324.9900,"Supply, Distribution and Related","includes managers engaged in Transport, Storage and Communication, not elsewhere classified.",II-A,65,2
1330.0101,Communication Analyst,"is responsible for communication materials supporting product development, programme delivery and client services.",II-A,66,2
1330.0300,Post Master,"Maintains counters to facilitate service provided to public. Displays relevant postal rules and regulations and publicizes sales of special and commemorative stamp issues, Government bonds, etc. Controls sale of postage envelopes, stamps and other postal stationery and checks timely collection and delivery of letters, money orders, etc. within area prescribed. Checks cash book amounts, Saving Bank accounts and other prescribed records. Renders accounts to audit office relating to his office and sub-offices. Disburses pay and allowance to all categories of staff working under him in post office or branch offices. May supervise functions of telegraph office, if attached to post office. May keep cash and valuables in joint custody with Treasurer.",II-A,67,1
1330.0701,Cluster Manager,"Ensure optimum utilization of resources; efficiency in reducing energy and other operational costs, delight customer by ensuring high up-time per mobile tower is maintained; adherence to compliance/performance parameters, technical and safety training of team and a holistic technical approach towards the entire infrastructure present at cell sites/mobile towers.",II-A,67,2
1345.0100,Headmaster,"Develops and evaluates educational programmes to ensure conformance to state and school board standards. Develops and co-ordinates educational programmes through meetings with staff, review of teachers' activities, and issuance of directives. Confers with teachers, students, and parents concerning educational and behavioural problems in school. Establishes and maintains relationships with colleges, community organizations, and other schools to co-ordinate educational services. Requisitions and allocates supplies, equipment, and instructional material as needed. Directs preparation of class schedules, cumulative records, and attendance reports. Observes and evaluates teacher performance. interviews and hires teachers. Walks about school buildings and property to monitor safety and security. Plans and monitors school budget. May plan and direct building maintenance. May develop and administer educational programmes for students with mental or physical handicaps.",II-A,69,1
1346.0100,"Manager, Bank","organizes, controls and supervises, within authority delegated, activities of private or public bank or one or more of its departments or branches.",II-A,69,2
1346.9900,Financial and Insurance Service,"include managers engaged in business services, not elsewhere classified.",II-A,70,1
1411.0100,"Manager, Lodging and Catering","organizes and supervises, within authority delegated, efficient utilisation of men, money and material in public or private organizations or establishments, or one or more of its departments or branches, engaged in preparing and serving food, drinks and beverages and providing lodging and camping facilities to public.",II-A,71,1
1411.9900,"Hotel Managers, Others","include Managers engaged both in restaurants and hotels, not elsewhere classified.",II-A,71,2
1412.9900,"Restaurant Managers, Other","include all other General Managers engaged in restaurant, hotel and other related activities, not elsewhere classified.",II-A,72,1
1420.0100,"Manager, Wholesale Trade","organizes and manages wholesale trade organizations, or one or more if its branches or departments, engaged in buying goods and selling them for profits to retailers or industrial and commercial consumers.",II-A,72,2
1420.0200,"Manager, Retail Trade","organizes and manages retail trade organizations, or one or more of its branches or departments, engaged in buying goods and merchandise and selling them for profit to customers.",II-A,73,1
1420.0300,"Manager, Export","Directs clerical staff in expediting export correspondence, bid requests, and credit collections. Arranges shipping details, such as export licenses, customs declarations, and packing, shipping, and routing of products. Directs clerical and technical staff in preparation of foreign language sales manuals. Expedites import- export arrangements and maintains current information on import-export tariffs, licenses, and restrictions.",II-A,73,1
1420.0400,"General Manager, Wholesale","organizes and manages wholesale trade organizations, or one or more of its branches or departments engaged in buying goods and selling them for profits to retailers or industrial and commercial consumers.",II-A,73,2
1420.0500,"General Manager, Retail Trade,","organizes and manages retail trade organizations, or one or more of its branches or departments, engaged in buying goods and merchandise and selling them for profit to customers.",II-A,73,2
1431.9900,"Sports, Recreation and Cultural",includes all other General Managers not covered in any of the families of Group 130.,II-A,74,2
2111.0100,"Physicist, General","Performs experiments on laws of motion, electricity, centre of gravity, liquid pressure etc., to identify and measure elements of matter and energy and their interaction. Applies results to formulate theories of physical phenomena, solve industrial and technical problems and for making delicate instruments and testing equipment. Undertakes study of applied physics for understanding analysis data, Solar stellen and astrophysics, biological and geophysical phenomena, etc.",II-A,76,2
2111.0200,"Physicist, Mechanics","Performs basic tasks similar to those of Physicist General and conducts theoretical and experimental studies and research in different fields of mechanics using appropriate instruments, apparatus and equipment. Analyses data and formulates theories of physical phenomena and solves industrial and technical problems relating to hydrostatic, gravitation aerodynamics, hydrodynamics, ballistics, elasticity, use of high pressure or high- vacuum, control and efficiency of mechanical instruments and measuring devices, etc.",II-A,77,1
2111.0400,"Physicist, Light","Performs basic tasks similar to Physicist General, conducts studies and experiments on transmission and projection of light and optical problems using lenses, mirrors, prisms, projectors and other appropriate apparatus, instruments and equipment. Analyses data, formulates theories and evolves formulae for designing optical instruments, solving optical problems and application to industrial and technical uses.",II-A,77,2
