nco_code,occupation_title,task_number,task,volume,pdf_page
1111.0300,"Elected Official, Local Bodies",1,"Performs administrative, executive or advisory functions in matters entrusted to local bodies e.g. public health, sanitation, primary education, building and road construction, drainage, street-lighting, raising and collection of admissible local taxes and their proper administration, and all other connected matters for the benefit of local people, including enforcement of local laws and emergency measures as necessary.",II-A,15
1111.9900,"Legislators, Other",1,"perform administrative, executive or advisory functions in educational, religious, social, political and community welfare organizations and such other permanent or ad-hoc private bodies, not else-where classified.",II-A,15
1112.0500,"Executive Official, State",1,"Performs or supervises performance of executive and field duties which include maintenance of law and order; assessing and collecting taxes, duties, land revenues, etc.; issuing licenses; executing development schemes; reconciling parties in trade disputes; inspecting schools, factories, shops, offices and establishments; and enforcing various rules, regulations and provisions of law.",II-A,17
1112.0800,Administrative and Executive,1,"plans, organizes, co-ordinates and controls functions of the city corporation, improvement trust, municipality, district board, cantonment board, notified area committee or other local bodies, and executes and implements or supervises execution and implementation of decisions, rules and regulations and by-laws of local bodies and also assesses and collects local taxes.",II-A,18
1114.0200,"Senior Officials of Employers,",1,"determine and formulate policies, rules and regulations of their respective organizations, direct their application, represents these organizations and act on their behalf.",II-A,19
1114.9900,Senior Officials of Special-interest,1,"Directs their application, represents these organizations and acts on their behalf.",II-A,20
1120.0200,"Working Proprietor, Gas",1,"plans, organizes and controls, within authority delegated activities of public or private organizations or enterprises, or one or more of its departments, sections or branches, engaged in manufacture of gas, distribution and supply of gas to consumers and production and supply of steam for heat and power.",II-A,21
1120.0300,"Working Proprietor, Water Supply",1,"plans, organizes and co-ordinates, within authority delegated, activities of public or private organizations engaged in storage, filtration, purification and supply of water.",II-A,21
1120.0400,"Director, Electricity",1,"Determines, plans, organizes and controls in broad outline, within authority delegated, activities of private or public organizations or establishments or one or more of its branches, departments, etc. engaged in generation, transmission and distribution of electricity to domestic and industrial consumers.",II-A,21
1120.0500,"Director, Gas",1,"Determines, plans, organizes and controls, within authority delegated activities of public or private organizations or enterprises, or one or more of its departments, sections or branches, engaged in manufacture of gas, distribution and supply of gas to consumers and production and supply of steam for heat and power.",II-A,21
1120.0700,"Director, Bank",1,"sets broad policies and plans and supervises in general way, within authority delegated, efficient operation of private or public bank or major segment of it.",II-A,22
1120.0900,"Working Proprietor,",1,"plans, organizes, directs and controls the enterprise wholly or partially and is engaged in economic activities related to extraction of coal, ore, mica, precious stones and other minerals from underground mines or open pits, and treatment of minerals for use by consumers.",II-A,22
1120.1100,"Working Proprietor, Well",1,"plans, organizes, directs and controls the enterprise wholly or partially and is engaged in economic activities related to drilling and sinking of deep wells, and operating wells for extraction of crude petroleum, natural gas, water and other liquids and semi-liquids from deep below earth’s surface.",II-A,23
1120.1300,"Director, Construction",1,"plans, co-ordinates and controls, within powers delegated, activities of public or private organizations or one or more of its branches or departments engaged in construction, maintenance and repairs of buildings, roads, bridges, railway tracks, aerodromes, canals, dams, etc.",II-A,23
1120.1400,"Director, Mines",1,"plans, directs and co- ordinates, within powers delegated activities of public or private organizations engaged in extracting coal, ores, mica, precious stones and other solid minerals from underground mines or open pits and in treating and dressing ore or minerals at mine site.",II-A,23
1120.1500,"Director, Quarry",1,"plans, directs and co- ordinates, within powers delegated, activities of public or private organization engaged in excavating stone, slate, clay and sand from earth.",II-A,24
1120.1600,"Director, Well Drilling",1,"plans, directs and co-ordinates, within powers delegated, activities of public or private organization engaged in drilling and sinking deep wells and operating wells for extraction of mineral oil, natural gas, etc.",II-A,24
1120.1900,"Working Proprietor, Wholesale",1,"controls business policies to ensure profits, keeping in view price line, market trend and demand and supply position.",II-A,25
1120.1900,"Working Proprietor, Wholesale",2,"Appoints Directors, Managers and Representatives and delegates financial and operational powers to them, if necessary.",II-A,25
1120.1900,"Working Proprietor, Wholesale",3,Runs wholesale trade on monopoly or zonal basis in specific commodities either by importing them from outside or manufacturing them in his own or other concern.,II-A,25
1120.1900,"Working Proprietor, Wholesale",4,May require a licence or permit from public authorities for wholesale trade.,II-A,25
1120.1900,"Working Proprietor, Wholesale",5,May undertake export business.,II-A,25
1120.2100,"Director, Wholesale Trade",1,"plans, controls and directs operation of private or public enterprise or segment of its activities engaged in buying and selling of goods in wholesale.",II-A,25
1120.2200,"Director, Retail Trade",1,"plans, controls and directs operation of private or public enterprises or a segment of its activities, engaged in buying and selling goods in retail.",II-A,25
1120.2300,"Working Proprietor, Transport",1,"plans, organizes, co-ordinates and controls activities of the organization or establishment wholly or partly owned by him, is engaged in transporting passengers and freight by buses, trucks, taxis, rickshaws, tongas, and other means of road transport; by boats, launches, ships, etc. plying on inland or coastal waters or on high seas; by aircraft for providing transport and other services, incidental to transport.",II-A,26
1120.2500,"Director, Communication",1,"plans, organizes, co-ordinates and controls, within authority delegated, activities of public or private organization or one or more of its departments or branches, engaged in providing postal, telephone, telegraph, wireless and other communication services.",II-A,26
1120.2800,"Director, Storage and Warehousing",1,May arrange facilities of transport and communication as required.,II-A,27
1120.2900,"Working Proprietor, Lodging and",1,"plans, organizes, co-ordinates and controls operations of the organization or establishment wholly or partly owned by him and is engaged in serving food, drinks and beverages and providing lodging and camping facilities to public.",II-A,28
1120.3000,"Director, Lodging and Catering",1,"plans, organizes and controls, within authority delegated, activities of public or private organizations or establishments or one or more of its branches, engaged in preparing and serving food, drinks and beverages and providing lodging, and camping facilities to public.",II-A,28
1120.3200,"Working Proprietor, Recreation and",1,"plans, organizes, co- ordinates and controls operations of the organization or establishment wholly or partly owned by him and is engaged in producing, distributing and exhibiting motion pictures; producing and presenting stage and circus shows; operating carnivals and amusement parks; organizing games, sports, hunting, fishing, excursion, competitions, etc., and providing other entertainment and recreation services.",II-A,29
1120.3401,Account Director (Advertising,1,Agency) Account Director (Advertising Agency) is responsible for managing the clients’ advertisement portfolio.,II-A,30
1120.3500,"Working Proprietor, Other Services",1,"plans, organizes, co-ordinates and controls activities of the organization, wholly or partly owned by him, and is engaged in running and managing educational institutions; rendering medical and other health services, sanitation, washing and cleaning households, garments, etc. and providing other services.",II-A,30
1120.3900,"Principal, College",1,Develops and evaluates educational programmes to ensure conformance to state and university standards.,II-A,32
1120.3900,"Principal, College",2,"Develops and co- ordinates educational programmes through meetings with staff, review of teachers' activities, and issuance of directives.",II-A,32
1120.3900,"Principal, College",3,"Confers with teachers, students, and parents concerning educational and behavioural problems in the college.",II-A,32
1120.3900,"Principal, College",4,"maintains relationships with colleges, community organizations, and other colleges to co-ordinate educational, sports and cultural services.",II-A,32
1120.3900,"Principal, College",5,"Forwards requisitions and allocates supplies, equipment, and instructional material as needed.",II-A,32
1120.3900,"Principal, College",6,"Directs preparation of class schedules, cumulative records, and attendance reports.",II-A,32
1120.3900,"Principal, College",7,Observes and evaluates teacher’s performance.,II-A,32
1120.3900,"Principal, College",8,Interviews and hires teachers.,II-A,32
1120.3900,"Principal, College",9,Walks around the college building and property to monitor safety and security.,II-A,32
1120.3900,"Principal, College",10,Plans and monitors college budget and financial matters.,II-A,32
1120.3900,"Principal, College",11,May plan and direct building maintenance.,II-A,32
1120.3900,"Principal, College",12,May develop and administer educational programmes for students with mental or physical handicaps.,II-A,32
1120.9900,Managing Directors and Chief,1,"plan, organize, control, co- ordinate and supervise activities of public or private organizations, wholly or partially owned by them or on behalf of others, engaged in generating, transmitting and distributing electricity; producing and supplying gas, purifying and supplying water and providing related services not elsewhere classified.",II-A,32
1211.0100,"General Manager, Bank",1,"organizes, controls and supervises, within authority delegated, activities of a private or public bank or one or more of its departments or branches.",II-A,33
1211.0200,"General Manager, Insurance",1,"organizes, controls and supervises, within authority delegated, activities of a private or public organization or one or more of its departments or branches, engaged in life, fire, accident, marine and other general insurance business.",II-A,33
1211.0300,"Purser, Ship",1,maintains their pay rolls.,II-A,34
1211.0300,"Purser, Ship",2,Prepares portage bills and ship's 30 articles (contracts).,II-A,34
1211.0300,"Purser, Ship",3,"Collects mail and distributes to passengers, officers and crew.",II-A,34
1211.0300,"Purser, Ship",4,"May supervise stowing or removal of luggage from holds in conjunction with Chief Officer, Ship or Officer on Watch.",II-A,34
1211.0300,"Purser, Ship",5,May collect valuables of passengers for safe custody in passenger ships.,II-A,34
1211.0300,"Purser, Ship",6,May arrange parties and other entertainment for passengers and generally acts as a host.,II-A,34
1211.9900,Finance and Administration,1,"include Managers engaged in finance and administration and related services, not elsewhere classified.",II-A,34
1212.0100,Personnel Manager,1,"organizes training schemes, supervises administration of welfare programmes, distributes personnel for their effective utilization in organization and resolves problems of remuneration, discipline and industrial disputes in accordance with established laws.",II-A,34
1212.0100,Personnel Manager,2,Investigates in to specific problems of indiscipline and inefficiency to evolve and suggest ameliorative measures to management.,II-A,34
1212.0100,Personnel Manager,3,"Establishes channels of consultation between labour and employers to minimize misunderstanding, promote cordial relations and consults with labour representatives on behalf of employers to remove causes of petty grievances.",II-A,34
1213.0101,Quality Assurance Standards In,1,"Charge Quality Assurance Standards In Charge is responsible for selecting, maintaining and monitoring the measuring systems to be used for the inspection of manufactured products in order to assure quality products to customers.",II-A,35
1213.0200,"Manager, Automotive Service",1,"Plans, develops, and implements policies for operating station, such as hours of operation, workers required and duties, scope of operations, and prices for products and services.",II-A,36
1213.0200,"Manager, Automotive Service",2,"prepares work schedules, and assigns workers to specific duties, such as customer service, automobile maintenance, or repair work.",II-A,36
1213.0200,"Manager, Automotive Service",3,"Directs, co- ordinates, and participates in performing customer service activities, such as pumping petroleum fuel, checking engine oil, tires, battery, and washing windows and windshield.",II-A,36
1213.0200,"Manager, Automotive Service",4,"Notifies customers when oil is dirty or low, tires are worn, hoses or fan-belts are defective, or evidence indicates battery defects.",II-A,36
1213.0200,"Manager, Automotive Service",5,"Promotes sale of products and services, such as oil change and lubrication, tires, battery, or other automotive accessories.",II-A,36
1213.0200,"Manager, Automotive Service",6,"Reconciles cash with petrol pump meter readings, sales slips, and credit card charges.",II-A,36
1213.0200,"Manager, Automotive Service",7,"Orders, receives, and inventories petroleum fuel, oil, automotive accessories and parts.",II-A,36
1213.0200,"Manager, Automotive Service",8,"May perform automotive maintenance and repair work, such as adjusting or relining brakes, motor tune-ups, valve grinding, and changing and repairing tires.",II-A,36
1213.0202,Territory Service Manager,1,supervises service functions at the dealership network of the assigned territory and helps in increasing profitability.,II-A,36
1219.0101,Export Manager,1,"work includes analysis of the foreign trade logistics, management and supervision of all shipment related documents and ensuring shipping compliance.",II-A,37
1221.0100,Sales Manager (Wholesale Trade),1,"organizes and manages wholesale trade organizations, or one or more if its branches or departments engaged in buying goods and selling them for profits to retailers or industrial and commercial consumers.",II-A,38
1221.0200,Sales Manager (Retail Trade),1,"organizes and manages retail trade organization, or one or more of its branches or departments, engaged in buying goods and merchandise and selling them for profit to customers.",II-A,38
1221.0401,Territory Sales Manager,1,"Enhances Average Revenue Per User (ARPU) and customer base, channel development and process compliance.",II-A,39
1221.0601,Sales Co-ordinator (Media Org),1,is responsible for back-end sales activities,II-A,39
1221.9900,"Sales and Marketing Managers,",1,"include managers engaged in sales and marketing and related services, not elsewhere classified.",II-A,40
1222.0200,"Manager, Fashion/Fashion",1,Consults with buying personnel to gain advice regarding type of fashion.,II-A,41
1222.0200,"Manager, Fashion/Fashion",2,Advises publicity and display departments of merchandise to be publicized.,II-A,41
1222.0200,"Manager, Fashion/Fashion",3,Selects garments and accessories to be displayed at fashion shows.,II-A,41
1222.0200,"Manager, Fashion/Fashion",4,"Provides information on current fashion, style trends, and use of accessories.",II-A,41
1222.0200,"Manager, Fashion/Fashion",5,"May contract with models, musicians, caterers, and other personnel to manage staging of shows.",II-A,41
1222.0200,"Manager, Fashion/Fashion",6,May conduct teenage fashion shows and direct activities of store-sponsored club for teenaged girls.,II-A,41
1223.0101,Manager Testing Facility,1,"manage requirements identification, development and installation of testing facilities in R&D for validating the specifications of the product.",II-A,41
1223.0201,Research Associate,1,"The job also involves going through many reports, analysing and interpreting data, creating research reports and documents",II-A,42
1311.0200,"General Manager, Horticulture",1,"Determines types of fruits or nuts to be grown depending on nature of soil and climate, irrigation and market facilities.",II-A,44
1311.0200,"General Manager, Horticulture",2,"Selects and purchases plants, fertilisers and agricultural implements.",II-A,44
1311.0200,"General Manager, Horticulture",3,"Organizes operations of ploughing, manuring, sowing or planting and watering.",II-A,44
1311.0200,"General Manager, Horticulture",4,Devises ways and means to supply regular flow of water for irrigation.,II-A,44
1311.0200,"General Manager, Horticulture",5,"Supervises agricultural operations such as weeding, spraying insecticides, manuring and harvesting.",II-A,44
1311.0200,"General Manager, Horticulture",6,Selects best market for produce and arranges its transport.,II-A,44
1311.0200,"General Manager, Horticulture",7,Supervises and controls field and office staff.,II-A,44
1311.0200,"General Manager, Horticulture",8,Trains field workers in latest methods of grafting and planting of trees.,II-A,44
1311.0200,"General Manager, Horticulture",9,Attends to office correspondence and keeps cost and production account.,II-A,44
1311.0200,"General Manager, Horticulture",10,"Keeps equipment and building, etc. in good order.",II-A,44
1311.0200,"General Manager, Horticulture",11,Pays various taxes and dues and fulfils other obligations.,II-A,44
1311.0901,Rubber Nursery Manager,1,He is responsible for the quality assurance of the planting materials produced from the nursery.,II-A,47
1311.1400,"Manager, Dairy Farm",1,"Supervises selection and purchase of animals, in consultation with the employer.",II-A,49
1311.1400,"Manager, Dairy Farm",2,"Makes proper arrangements for housing, feeding and treatment of milking animals.",II-A,49
1311.1400,"Manager, Dairy Farm",3,Pairs animals for breeding on basis of pedigree.,II-A,49
1311.1400,"Manager, Dairy Farm",4,Arranges artificial insemination for developing good breed.,II-A,49
1311.1400,"Manager, Dairy Farm",5,Takes proper care of animals during birth of young and takes necessary precautions during upbringing of young animals.,II-A,49
1311.1400,"Manager, Dairy Farm",6,"Ensures that hygienic methods are maintained while cleaning udder of animals, washing hands of Milkman, milk containers, etc. before milking.",II-A,49
1311.1400,"Manager, Dairy Farm",7,"Supervises milking, preparation of butter, ghee, etc. and arranges their transportation and marketing.",II-A,49
1311.1400,"Manager, Dairy Farm",8,Selects and sells unprofitable animals.,II-A,49
1311.1400,"Manager, Dairy Farm",9,Controls office and field staff and co-ordinates their work.,II-A,49
1311.1400,"Manager, Dairy Farm",10,"Records details of feed consumed, milk and other produce, purchase and sale of animals and other items relating to the income and expenditure of the dairy.",II-A,49
1311.1400,"Manager, Dairy Farm",11,maintains proper accounts and watches expenditure and receipts of farm for economic consideration.,II-A,49
1311.1400,"Manager, Dairy Farm",12,May raise and exhibit show animals.,II-A,49
1311.1400,"Manager, Dairy Farm",13,May arrange and supervise production of feed for animals.,II-A,49
1311.1400,"Manager, Dairy Farm",14,May conduct research and demonstrate process of working.,II-A,49
1311.1500,"Manager, Poultry Farm",1,Determines varieties of poultry to be raised in consultation with the employer.,II-A,50
1311.1500,"Manager, Poultry Farm",2,"Purchases feed, eggs, chicken, incubators and other equipment required for the poultry farm.",II-A,50
1311.1500,"Manager, Poultry Farm",3,"Supervises arrangements for feeding, breeding, hatching and construction of foster-mother, pan, and brooder houses for housing newly born chicks and adult birds.",II-A,50
1311.1500,"Manager, Poultry Farm",4,Makes provision for proper sanitation and medical facilities and gets them vaccinated at a proper age.,II-A,50
1311.1500,"Manager, Poultry Farm",5,work of various sections and controls office staff.,II-A,50
1311.1500,"Manager, Poultry Farm",6,plans carefully to achieve fixed target of production and yield profit.,II-A,50
1311.1500,"Manager, Poultry Farm",7,Takes preventive measures against diseases of birds.,II-A,50
1311.1500,"Manager, Poultry Farm",8,Isolates and treats or disposes off ailing birds and takes measures against the spread of epidemics.,II-A,50
1311.1500,"Manager, Poultry Farm",9,Determines selling price for eggs of different grades and stock of different ages and pedigree.,II-A,50
1311.1500,"Manager, Poultry Farm",10,Maintains breeding record.,II-A,50
1311.1500,"Manager, Poultry Farm",11,Studies improved methods in poultry development.,II-A,50
1311.1500,"Manager, Poultry Farm",12,Arranges preservation of eggs during summer and disposal of poultry by-products.,II-A,50
1311.1500,"Manager, Poultry Farm",13,Undertakes measures to publicise products.,II-A,50
1311.1500,"Manager, Poultry Farm",14,Maintains all accounts and correspondence relating to the farm.,II-A,50
1311.1500,"Manager, Poultry Farm",15,May raise selected poultry and sell quality eggs for hatching.,II-A,50
1311.1500,"Manager, Poultry Farm",16,May arrange demonstration of various kinds of hatchery plants to develop hatching of eggs.,II-A,50
1311.1500,"Manager, Poultry Farm",17,May raise and exhibit show stock.,II-A,50
1311.9900,Agricultural and Forestry,1,"include all other Farm Managers and supervisors engaged in agriculture, horticulture, poultry, dairy, livestock and farming, not elsewhere classified.",II-A,50
1321.0100,"Manager, Electricity",1,"co-ordinates and supervises, within authority delegated efficient utilisation of men, money and material in public or private organizations or establishments, or one or more of its departments, branches, etc., engaged in generation, transmission and distribution of electricity to domestic and industrial consumers.",II-A,51
1321.0300,"Manager, Gas",1,"co-ordinates and controls, within authority delegated, efficient utilization of men, money and material in public or private organizations or establishments, or one or more of its departments, sections or branches, engaged in manufacture of gas and distribution of manufactured or natural gas to consumers, and production and supply of steam for heat, power, etc.",II-A,51
1321.0500,"Manager, Food Processing Plant",1,"Directs, through subordinate supervisory personnel, workers engaged in processing, canning, freezing, storing, and shipping food products.",II-A,52
1321.0500,"Manager, Food Processing Plant",2,"Directs and co-ordinates activities concerned with dismantling, moving, installing, or repair of machines and equipment.",II-A,52
1321.0500,"Manager, Food Processing Plant",3,Approves plant payroll and payments for purchased materials or products.,II-A,52
1321.0500,"Manager, Food Processing Plant",4,"Estimates quantities of foods for processing required and orders foods, materials, supplies, and equipment needed.",II-A,52
1321.0500,"Manager, Food Processing Plant",5,"Hires, transfers, and discharges employees.",II-A,52
1321.0500,"Manager, Food Processing Plant",6,May provide suppliers with transportation to expedite delivery of purchased products or supplies to the plant.,II-A,52
1321.0500,"Manager, Food Processing Plant",7,May arrange for freezing of packaged products by other food processing plants.,II-A,52
1321.0500,"Manager, Food Processing Plant",8,May negotiate with suppliers or growers regarding prices to be paid for purchases.,II-A,52
1321.0700,"General Manager, Electricity",1,"co-ordinates and supervises, within authority delegated efficient utilization of men, money and material in public or private organizations or establishments, or one or more of its departments, branches, etc., engaged in generation, transmission and distribution of electricity to domestic and industrial consumers.",II-A,52
1321.0900,"General Manager, Water Supply",1,"supervises within powers delegated, efficient utilization of men, money and material in public or private organizations, or one or more of its departments or branches, engaged in storing, filtering and purifying water and supplying water to consumers.",II-A,53
1321.1000,"General Manager, Manufacturing",1,"organizes, co-ordinates and supervises, within powers delegated, efficient utilisation of men, money and material in public or private organizations or establishments, or one or more of its departments or branches, engaged in producing, maintaining or repairing capital or consumer goods, excluding crops, minerals electricity and natural gas.",II-A,53
1322.0100,"Manager, Mine",1,Ensures satisfactory production and safety of men and material.,II-A,53
1322.0300,"Manager, Well Drilling",1,"controls and supervises within authority delegated, activities of public or private organizations engaged in drilling and sinking of wells and operating wells for extraction of mineral oil, natural gas, etc.",II-A,54
1322.0500,"General Manager, Quarry",1,Ensures satisfactory production and safety of men and material.,II-A,54
1322.0600,"General Manager, Well Drilling",1,"controls and supervises within authority delegated, activities of public or private organizations engaged in drilling and sinking of wells and operating wells for extraction of mineral oil, natural gas, etc.",II-A,54
1323.0100,"Manager, Construction/Manager",1,"co-ordinates and supervises, within powers delegated, activities of public or private organizations or one or more of its departments or branches engaged in construction, maintenance and repairs of buildings, roads, railway tracks, aerodromes, bridges, canals, dams, etc.",II-A,55
1323.9900,"Construction Managers, Other",1,"includes all other General Managers engaged in construction, and other related activities, not elsewhere classified.",II-A,56
1324.0101,Manager Supplier Quality,1,"needs to be responsible for overall supplier quality assurance functions for all facilities including incoming inspection, issue containment and supplier corrective actions.",II-A,56
1324.0103,Manager Vendor Development,1,"co-ordinate and expedite procurement and flow of materials, parts, and assemblies between sections or departments of manufacturing, according to production and shipping schedules to ensure timely production of goods.",II-A,57
1324.0700,"Traffic Inspector, Tram",1,Substitutes temporarily for Tram Starter.,II-A,59
